sektor,tahun,bulan,jumlah
Jasa Kesehatan dan Kegiatan Sosial,2013,Agustus,1286542
Jasa Kesehatan dan Kegiatan Sosial,2014,Februari,1489880
Jasa Kesehatan dan Kegiatan Sosial,2014,Agustus,1329548
Jasa Kesehatan dan Kegiatan Sosial,2015,Februari,1551229
Jasa Kesehatan dan Kegiatan Sosial,2015,Agustus,1459731
Jasa Kesehatan dan Kegiatan Sosial,2016,Februari,1643879
Jasa Kesehatan dan Kegiatan Sosial,2016,Agustus,1753332
Jasa Kesehatan dan Kegiatan Sosial,2017,Februari,1843371
Jasa Kesehatan dan Kegiatan Sosial,2017,Agustus,1781975
Jasa Kesehatan dan Kegiatan Sosial,2018,Februari,2047495
Jasa Kesehatan dan Kegiatan Sosial,2018,Agustus,1879729
Jasa Kesehatan dan Kegiatan Sosial,2019,Februari,2016514
Jasa Kesehatan dan Kegiatan Sosial,2019,Agustus,1982709
Jasa Kesehatan dan Kegiatan Sosial,2020,Februari,2219080
Jasa Kesehatan dan Kegiatan Sosial,2020,Agustus,2005522
Jasa Kesehatan dan Kegiatan Sosial,2021,Februari,2307668
Jasa Kesehatan dan Kegiatan Sosial,2021,Agustus,2197328
Jasa Kesehatan dan Kegiatan Sosial,2022,Februari,2384745
Jasa Kesehatan dan Kegiatan Sosial,2022,Agustus,2234153
Jasa Kesehatan dan Kegiatan Sosial,2023,Februari,2476565
Jasa Kesehatan dan Kegiatan Sosial,2023,Agustus,2210722
Jasa Kesehatan dan Kegiatan Sosial,2024,Februari,2497559
Jasa Kesehatan dan Kegiatan Sosial,2024,Agustus,2374984
Jasa Lainnya,2011,Februari,5402669
Jasa Lainnya,2011,Agustus,4971072
Jasa Lainnya,2012,Februari,5515969
Jasa Lainnya,2012,Agustus,5714339
Jasa Lainnya,2013,Februari,5202900
Jasa Lainnya,2013,Agustus,6531537
Jasa Lainnya,2014,Februari,5358975
Jasa Lainnya,2014,Agustus,6484857
Jasa Lainnya,2015,Februari,6280760
Jasa Lainnya,2015,Agustus,5368121
Jasa Lainnya,2016,Februari,5935417
Jasa Lainnya,2016,Agustus,5005101
Jasa Lainnya,2017,Februari,5639871
Jasa Lainnya,2017,Agustus,5997759
Jasa Lainnya,2018,Februari,6345351
Jasa Lainnya,2018,Agustus,6087014
Jasa Lainnya,2019,Februari,6419926
Jasa Lainnya,2019,Agustus,6364292
Jasa Lainnya,2020,Februari,6219537
Jasa Lainnya,2020,Agustus,6409568
Jasa Lainnya,2021,Februari,6356738
Jasa Lainnya,2021,Agustus,5773879
Jasa Lainnya,2022,Februari,5892267
Jasa Lainnya,2022,Agustus,6033962
Jasa Lainnya,2023,Februari,6403675
Jasa Lainnya,2023,Agustus,6389916
Jasa Lainnya,2024,Februari,6412119
Jasa Lainnya,2024,Agustus,6589701
